Fabric_Care
"['Recycled Polyester 86%, Spandex 14%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Spandex 21%, Recycled Polyester 79%', 'Machine wash', 'Imported']"
"['Recycled Polyester 86%, Spandex 14%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Spandex 21%, Recycled Polyester 79%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Cotton 5%, Cotton 95%', 'Recycled Cotton 5%, Cotton 95%', 'Machine wash', 'Machine wash', 'Imported', 'Imported']"
"['Cotton 86%, Recycled Cotton 7%, Recycled Polyester 6%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 83%, Polyester 11%, Recycled Cotton 5%, Elastane 1%, Spandex null%', 'Machine wash', 'Imported']"
"['Cotton 93%, Recycled Cotton 5%, Elastane 2%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Machine wash', 'Imported', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Recycled Polyester 86%, Spandex 14%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Recycled Polyester 23%, Cotton 77%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Elastane 2%, Recycled Cotton 13%, Elasterrell 4%, Cotton 81%', 'Machine wash', 'Imported']"
"['Body: 85% Recycled Nylon, 15% Spandex', 'Lining: 92% Recycled Polyester, 8% Spandex', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Machine wash', 'Imported', 'Imported']"
"['Body: 48% Polyester, 45% Nylon, 7% Spandex', 'Body: 48% Polyester, 45% Nylon, 7% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Machine wash', 'Imported', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Cotton 83%, Polyester 11%, Recycled Cotton 5%, Elastane 1%, Spandex null%', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 6%, Spandex null%', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Spandex 2%, Recycled Nylon 92%', 'Machine wash', 'Imported']"
"['Spandex 2%, Recycled Nylon 92%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Cotton 94%, Elastane 5%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Cotton 13%, Elastane 2%, Cotton 81%, Elasterrell 4%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 83%, Polyester 11%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Cotton 75%, Rayon 18%, Recycled Cotton 5%, Spandex 2%', 'Machine wash', 'Imported']"
"['Cotton 86%, Recycled Cotton 7%, Recycled Polyester 6%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 75%, Rayon 18%, Recycled Cotton 5%, Spandex 2%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 93%, Elastane 1%, Recycled Cotton 6%', 'Machine wash', 'Imported']"
"['LYCRA® 2%, Elasterrell 7%, Cotton 84%, Recycled Cotton 7%', 'Machine wash', 'Imported']"
"['Cotton 87%, Recycled Cotton 7%, Recycled Polyester 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Recycled Cotton 7%, Cotton 86%, Recycled Polyester 6%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 81%, Recycled Cotton 13%, Elasterrell 4%, Elastane 2%', 'Machine wash', 'Imported']"
"['Cotton 93%, Recycled Cotton 5%, Elastane 2%', 'Machine wash', 'Imported']"
"['Elastane 2%, Recycled Cotton 13%, Elasterrell 4%, Cotton 81%', 'Machine wash', 'Imported']"
"['Cotton 75%, Rayon 18%, Recycled Cotton 5%, Spandex 2%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Normal Wash', 'Imported']"
"['Recycled Polyester 6%, Recycled Cotton 7%, Cotton 86%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Polyester 6%, Cotton 86%, Recycled Cotton 7%, Elastane 1%', 'Machine wash', 'Imported']"
"['Elastane 2%, Elasterrell 4%, Recycled Cotton 13%, Cotton 81%', 'Models wearing Gap size 33 are 5\'8""–5\'11""/172–180 cm with 34–36""/86–91 cm waist & 45–50""/114–127 cm hips', 'Machine wash', 'Imported']"
"['Elastane 1%, Recycled Cotton 7%, Recycled Polyester 5%, Cotton 87%', 'Machine wash', 'Imported']"
"['Cotton 75%, Rayon 18%, Recycled Cotton 5%, Spandex 2%', 'Machine wash', 'Imported']"
"['Cotton 75%, Rayon 18%, Recycled Cotton 5%, Spandex 2%', 'Machine wash', 'Imported']"
"['Recycled Cotton 13%, Elasterrell 4%, Elastane 2%, Cotton 81%', 'Machine wash', 'Imported']"
"['Recycled Cotton 7%, Elastane 1%, Recycled Polyester 6%, Cotton 86%', 'Machine wash', 'Imported']"
"['Cotton 83%, Polyester 11%, Recycled Cotton 5%, Elastane 1%, Spandex null%', 'Machine wash', 'Imported']"
"['Elastane 2%, Elasterrell 4%, Recycled Cotton 13%, Cotton 81%', 'Models wearing Gap size 33 are 5\'8""–5\'11""/172–180 cm with 34–36""/86–91 cm waist & 45–50""/114–127 cm hips', 'Machine wash', 'Imported']"
"['Recycled Cotton 5%, Cotton 93%, Elastane 2%', 'Models wearing Gap size 27 are 5\'8""–5\'11""/172–180 cm with 23.5–26""/60–66 cm waist & 33–38""/84–97 cm hips', 'Models wearing Gap size 33 are 5\'8""–5\'11""/172–180 cm with 34–36""/86–91 cm waist & 45–50""/114–127 cm hips', 'Machine wash', 'Imported']"
"['Polyester 21%, Rayon 9%, Cotton 63%, Recycled Cotton 5%, Spandex 2%', 'Machine wash', 'Imported']"
"['Recycled Cotton 7%, Recycled Polyester 6%, Cotton 86%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 93%, Recycled Cotton 5%, Elastane 2%', 'Machine wash', 'Imported']"
"['Elastane 2%, Elasterrell 4%, Recycled Cotton 13%, Cotton 81%', 'Models wearing Gap size 33 are 5\'8""–5\'11""/172–180 cm with 34–36""/86–91 cm waist & 45–50""/114–127 cm hips', 'Machine wash', 'Imported']"
"['Recycled Cotton 13%, Elasterrell 4%, Elastane 2%, Cotton 81%', 'Machine wash', 'Imported']"
"['Cotton 87%, Recycled Polyester 7%, Polyester 5%', 'Machine wash', 'Imported']"
"['Cotton 89%, Recycled Cotton 5%, Recycled Polyester 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Cotton 5%, Cotton 93%, Elastane 2%', 'Models wearing Gap size 27 are 5\'8""–5\'11""/172–180 cm with 23.5–26""/60–66 cm waist & 33–38""/84–97 cm hips', 'Models wearing Gap size 33 are 5\'8""–5\'11""/172–180 cm with 34–36""/86–91 cm waist & 45–50""/114–127 cm hips', 'Machine wash', 'Imported']"
"['Cotton 87%, Recycled Polyester 7%, Polyester 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Cotton 7%, Elastane 1%, Recycled Polyester 6%, Cotton 86%', 'Machine wash', 'Imported']"
"['Elastane 2%, Recycled Cotton 13%, Elasterrell 4%, Cotton 81%', 'Machine wash', 'Imported']"
"['Cotton 83%, Polyester 11%, Recycled Cotton 5%, Elastane 1%, Spandex null%', 'Machine wash', 'Imported']"
"['Cotton 86%, Recycled Cotton 7%, Recycled Polyester 6%, Elastane 1%', 'Machine wash', 'Imported']"
"['Elastane 2%, Recycled Cotton 13%, Elasterrell 4%, Cotton 81%', 'Machine wash', 'Imported']"
"['Recycled Cotton 13%, Cotton 81%, Elastane 2%, Elasterrell 4%', 'Machine wash', 'Imported']"
"['Cotton 93%, Recycled Cotton 5%, Elastane 2%', 'Machine wash', 'Imported']"
"['Recycled Polyester 6%, Cotton 86%, Recycled Cotton 7%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Polyester 6%, Cotton 86%, Recycled Cotton 7%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 87%, Recycled Cotton 7%, Recycled Polyester 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Cotton 89%, Recycled Cotton 5%, Recycled Polyester 5%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Cotton 7%, Recycled Polyester 5%, Cotton 87%, Elastane 1%', 'Machine wash', 'Imported']"
"['Cotton 93%, Recycled Cotton 5%, Elastane 2%', 'Machine wash', 'Imported']"
"['Cotton 83%, Polyester 11%, Recycled Cotton 5%, Elastane 1%, Spandex null%', 'Machine wash', 'Imported']"
"['Recycled Polyester 6%, Cotton 86%, Recycled Cotton 7%, Elastane 1%', 'Machine wash', 'Imported']"
"['Recycled Cotton 7%, Elastane 1%, Recycled Polyester 6%, Cotton 86%', 'Machine wash', 'Imported']"
"['Cotton 81%, Elasterrell 4%, Recycled Cotton 13%, Elastane 2%', 'Machine wash', 'Imported']"
"['Cotton 86%, Recycled Cotton 7%, Recycled Polyester 6%, Elastane 1%', 'Machine wash', 'Imported']"
"['Elastane 2%, Recycled Cotton 13%, Elasterrell 4%, Cotton 81%', 'Machine wash', 'Imported']"
